iter	Passed	Remaining
0	7	7379
1	17	8765
2	24	8193
3	105	26288
4	140	27997
5	154	25665
6	167	23741
7	173	21523
8	185	20373
9	194	19244
10	202	18178
11	213	17601
12	219	16694
13	232	16382
14	238	15680
15	246	15163
16	256	14834
17	261	14291
18	271	14021
19	277	13600
20	287	13389
21	294	13073
22	304	12939
23	311	12666
24	323	12625
25	330	12383
26	342	12355
27	361	12543
28	371	12448
29	376	12189
30	387	12116
31	393	11905
32	403	11836
33	410	11655
34	421	11619
35	427	11460
36	434	11321
37	447	11323
38	455	11219
39	467	11213
40	480	11248
41	487	11114
42	498	11101
43	508	11046
44	515	10939
45	527	10934
46	533	10811
47	548	10871
48	561	10891
49	568	10792
50	576	10726
51	588	10727
52	594	10629
53	602	10560
54	614	10565
55	621	10479
56	636	10532
57	647	10521
58	653	10429
59	665	10430
60	676	10412
61	682	10327
62	694	10323
63	700	10247
64	711	10237
65	718	10161
66	731	10187
67	759	10403
68	773	10431
69	779	10354
70	791	10351
71	797	10281
72	809	10282
73	820	10272
74	827	10205
75	839	10210
76	847	10157
77	859	10156
78	870	10151
79	876	10081
80	891	10109
81	906	10147
82	941	10398
83	958	10456
84	975	10500
85	992	10547
86	1004	10545
87	1016	10532
88	1025	10500
89	1048	10601
90	1054	10533
91	1067	10531
92	1073	10469
93	1084	10457
94	1095	10438
95	1102	10384
96	1113	10368
97	1119	10308
98	1148	10457
99	1155	10399
100	1163	10358
101	1174	10343
102	1181	10287
103	1194	10289
104	1204	10265
105	1212	10223
106	1225	10230
107	1238	10229
108	1244	10173
109	1255	10161
110	1262	10114
111	1278	10133
112	1291	10139
113	1303	10133
114	1311	10091
115	1318	10051
116	1325	10001
117	1337	9994
118	1346	9966
119	1352	9916
120	1360	9880
121	1367	9842
122	1375	9810
123	1384	9781
124	1392	9749
125	1400	9714
126	1407	9676
127	1414	9634
128	1421	9596
129	1428	9558
130	1433	9511
131	1440	9472
132	1448	9440
133	1454	9400
134	1462	9367
135	1469	9336
136	1476	9303
137	1483	9267
138	1490	9230
139	1497	9198
140	1504	9164
141	1510	9128
142	1517	9095
143	1524	9062
144	1532	9038
145	1545	9042
146	1552	9009
147	1558	8974
148	1565	8942
149	1573	8915
150	1580	8884
151	1586	8849
152	1592	8816
153	1598	8780
154	1604	8745
155	1611	8716
156	1618	8689
157	1625	8659
158	1631	8629
159	1638	8604
160	1645	8576
161	1651	8545
162	1658	8517
163	1666	8493
164	1673	8466
165	1682	8453
166	1689	8428
167	1696	8401
168	1702	8372
169	1710	8348
170	1716	8321
171	1723	8294
172	1729	8268
173	1736	8244
174	1744	8225
175	1750	8197
176	1757	8171
177	1763	8142
178	1769	8114
179	1776	8091
180	1784	8076
181	1790	8049
182	1798	8028
183	1807	8016
184	1816	8001
185	1822	7977
186	1829	7955
187	1836	7933
188	1843	7911
189	1850	7887
190	1857	7867
191	1864	7845
192	1871	7823
193	1877	7801
194	1885	7781
195	1891	7760
196	1898	7738
197	1906	7722
198	1923	7742
199	1947	7790
200	1963	7806
201	1976	7807
202	1987	7804
203	1996	7791
204	2008	7789
205	2020	7786
206	2026	7761
207	2036	7756
208	2043	7733
209	2053	7725
210	2061	7707
211	2073	7708
212	2088	7718
213	2100	7716
214	2107	7693
215	2120	7697
216	2133	7698
217	2139	7675
218	2153	7679
219	2164	7673
220	2172	7656
221	2181	7646
222	2187	7622
223	2197	7611
224	2202	7586
225	2211	7572
226	2219	7557
227	2227	7543
228	2233	7519
229	2244	7513
